央视频道,#genre#
CCTV3,http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV6,http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV1,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV7,http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV7,http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8
CCTV6,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV8,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV9,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://39.135.138.60:18890/PLTV/88888910/224/3221225646/index.m3u8
CCTV-16奥林,http://39.134.115.163:8080/PLTV/88888910/224/3221226230/index.m3u8
CCTV10,http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV10,http://39.135.138.60:18890/PLTV/88888910/224/3221225636/index.m3u8
CCTV11,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV12,http://39.135.138.60:18890/PLTV/88888910/224/3221225637/index.m3u8
CCTV12,http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV14,http://39.135.138.60:18890/PLTV/88888910/224/3221225639/index.m3u8
CCTV8,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV17,http://39.135.138.59:18890/PLTV/88888910/224/3221225908/index.m3u8
CCTV14,http://39.135.138.59:18890/PLTV/88888910/224/3221225640/index.m3u8
CCTV4,http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8
CCTV2,http://117.148.179.156/PLTV/88888888/224/3221232362/index.m3u8
CCTV5+,http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8
CCTV9,http://117.148.179.162/PLTV/88888888/224/3221231697/index.m3u8
CCTV13,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV17,http://117.148.179.167/PLTV/88888888/224/3221231772/index.m3u8
CCTV12,http://117.148.179.150/PLTV/88888888/224/3221231660/index.m3u8
CCTV央视文化精品,http://117.148.179.147/PLTV/88888888/224/3221231561/index.m3u8
CGTN记录,http://117.148.179.144/PLTV/88888888/224/3221231492/index.m3u8
CGTN,http://117.148.179.174/PLTV/88888888/224/3221231592/index.m3u8
CGTN法语,http://117.148.179.156/PLTV/88888888/224/3221231550/index.m3u8
CNC中文,http://39.135.138.59:18890/PLTV/88888910/224/3221225694/index.m3u8
CETV1,http://117.148.179.156/PLTV/88888888/224/3221231714/index.m3u8
CETV3,http://117.148.179.136/PLTV/88888888/224/3221231543/index.m3u8
CGTN纪录,http://39.135.138.58:18890/PLTV/88888888/224/3221225645/index.m3u8
新华中文,http://39.135.138.58:18890/PLTV/88888888/224/3221225694/index.m3u8
CETV2,http://117.148.179.162/PLTV/88888888/224/3221231607/index.m3u8
CNC英文,http://39.135.138.59:18890/PLTV/88888910/224/3221225693/index.m3u8
新华英语,http://39.135.138.58:18890/PLTV/88888888/224/3221225693/index.m3u8
CHC家庭影院,http://117.148.179.151/PLTV/88888888/224/3221231799/index.m3u8
CHC动作电影,http://117.148.179.138/PLTV/88888888/224/3221231580/index.m3u8
CHC动作电影,http://111.20.33.93/TVOD/88888893/224/3221226465/index.m3u8
CHC家庭影院,http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8
CIBN综合,http://211.94.219.178:18080/PLTV/68/224/3221226420/index.m3u8
CIBN真人秀,http://211.94.219.178:18080/PLTV/68/224/3221226416/index.m3u8
CIBN微电影,http://211.94.219.178:18080/PLTV/68/224/3221226441/index.m3u8
CIBN经典剧场,http://211.94.219.178:18080/PLTV/68/224/3221226402/index.m3u8
CIBN古装剧场,http://211.94.219.178:18080/PLTV/68/224/3221226400/index.m3u8
CIBN风尚运动,http://211.94.219.178:18080/PLTV/68/224/3221226429/index.m3u8
CIBN骄阳剧场,http://211.94.219.178:18080/PLTV/68/224/3221226423/index.m3u8
CIBN流金岁月,http://211.94.219.178:18080/PLTV/68/224/3221226425/index.m3u8
卫视频道,#genre#

北京卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225673/index.m3u8
深圳卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225741/index.m3u8
湖南卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225745/index.m3u8
重庆卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225692/index.m3u8
浙江卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225744/index.m3u8
辽宁卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225735/index.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
江苏卫视,http://117.148.179.175/PLTV/88888888/224/3221231447/index.m3u8
江西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225746/index.m3u8
江苏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225702/index.m3u8
浙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225703/index.m3u8
东方卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8
东方卫视,http://183.207.255.197/live/program/live/hddfws/2300000/mnf.m3u8
广东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225701/index.m3u8
北京卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225674/index.m3u8
天津卫视,http://117.148.179.146/PLTV/88888888/224/3221228905/index.m3u8
天津卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225698/index.m3u8
山东卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225697/index.m3u8
山东卫视,http://117.148.179.137/PLTV/88888888/224/3221227909/index.m3u8
湖北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225699/index.m3u8
湖北卫视,http://117.148.179.142/PLTV/88888888/224/3221231888/index.m3u8
安徽卫视,http://117.148.179.177/PLTV/88888888/224/3221230215/index.m3u8
安徽卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225691/index.m3u8
辽宁卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225696/index.m3u8
江西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225705/index.m3u8
四川卫视,http://117.148.179.142/PLTV/88888888/224/3221231885/index.m3u8
四川卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225733/index.m3u8
河北卫视,http://117.148.179.179/PLTV/88888888/224/3221231411/index.m3u8
河北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225732/index.m3u8
贵州卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225728/index.m3u8
江苏卫视,http://183.207.255.197/live/program/live/jswshd/2300000/mnf.m3u8
山西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225730/index.m3u8
青海卫视,http://117.148.179.151/PLTV/88888888/224/3221231435/index.m3u8
青海卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225727/index.m3u8
云南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225664/index.m3u8
东南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225657/index.m3u8
河南卫视,http://117.148.179.144/PLTV/88888888/224/3221231514/index.m3u8
陕西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225729/index.m3u8
陕西卫视,http://117.148.179.156/PLTV/88888888/224/3221231408/index.m3u8
内蒙古卫视,http://117.148.179.151/PLTV/88888888/224/3221231478/index.m3u8
宁夏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225726/index.m3u8
甘肃卫视,http://117.148.179.158/PLTV/88888888/224/3221231393/index.m3u8
甘肃卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225724/index.m3u8
内蒙古卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225667/index.m3u8
厦门卫视,http://117.148.179.134/PLTV/88888888/224/3221229184/index.m3u8
湖南卫视,http://39.134.65.162/PLTV/88888888/224/3221225506/index.m3u8
新疆卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225725/index.m3u8
湖南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225704/index.m3u8
重庆卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225692/index.m3u8
深圳卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225700/index.m3u8
广西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225731/index.m3u8
吉林卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225680/index.m3u8
龙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225690/index.m3u8
西藏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225723/index.m3u8
湖南卫视,http://39.134.66.66/PLTV/88888888/224/3221225506/index.m3u8
湖南卫视,http://39.134.66.110/PLTV/88888888/224/3221225977/index.m3u8
湖南卫视,http://39.134.66.110/PLTV/88888888/224/3221225506/index.m3u8
浙江卫视,http://39.134.66.110/PLTV/88888888/224/3221225880/index.m3u8
浙江卫视,http://140.207.241.3:8080/live/program/live/zjwshd/4000000/mnf.m3u8
浙江卫视,http://39.134.66.66/PLTV/88888888/224/3221225514/index.m3u8
江苏卫视,http://39.134.66.110/PLTV/88888888/224/3221225882/index.m3u8
江苏卫视,http://39.134.66.110/PLTV/88888888/224/3221225503/index.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
江苏卫视,http://140.207.241.3:8080/live/program/live/jswshd/4000000/mnf.m3u8
江苏卫视,http://39.134.66.66/PLTV/88888888/224/3221225503/index.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8
北京卫视,http://140.207.241.3:8080/live/program/live/bjwshd/4000000/mnf.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225674/index.m3u8
重庆卫视,http://39.134.66.110/PLTV/88888888/224/3221225963/index.m3u8
东方卫视,http://39.134.66.110/PLTV/88888888/224/3221225865/index.m3u8
重庆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8
东方卫视,http://140.207.241.3:8080/live/program/live/hddfws/4000000/mnf.m3u8
广东卫视,http://39.134.66.110/PLTV/88888888/224/3221225966/index.m3u8
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8
广东卫视,http://140.207.241.3:8080/live/program/live/gdwshd/4000000/mnf.m3u8
深圳卫视,http://39.134.66.110/PLTV/88888888/224/3221225668/index.m3u8
深圳卫视,http://140.207.241.3:8080/live/program/live/szwshd/4000000/mnf.m3u8
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
安徽卫视,http://140.207.241.3:8080/live/program/live/ahwshd/4000000/mnf.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
山东卫视,http://140.207.241.3:8080/live/program/live/sdwshd/4000000/mnf.m3u8
天津卫视,http://39.134.66.110/PLTV/88888888/224/3221225878/index.m3u8
天津卫视,http://140.207.241.3:8080/live/program/live/tjwshd/4000000/mnf.m3u8
东南卫视,http://39.134.66.110/PLTV/88888888/224/3221225863/index.m3u8
黑龙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
黑龙江卫视,http://39.134.66.110/PLTV/88888888/224/3221225985/index.m3u8
黑龙江卫视,http://140.207.241.3:8080/live/program/live/hljwshd/4000000/mnf.m3u8
吉林卫视,http://39.134.66.110/PLTV/88888888/224/3221225981/index.m3u8
河南卫视,http://39.134.66.110/PLTV/88888888/224/3221225988/index.m3u8
东南卫视,http://140.207.241.3:8080/live/program/live/dnwshd/4000000/mnf.m3u8
贵州卫视,http://39.134.66.110/PLTV/88888888/224/3221225974/index.m3u8
湖北卫视,http://39.134.66.110/PLTV/88888888/224/3221225871/index.m3u8
湖北卫视,http://140.207.241.3:8080/live/program/live/hbwshd/4000000/mnf.m3u8
金牌综艺,http://39.134.66.110/PLTV/88888888/224/3221225525/index.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8
江西卫视,http://140.207.241.3:8080/live/program/live/jxwshd/4000000/mnf.m3u8
辽宁卫视,http://140.207.241.3:8080/live/program/live/lnwshd/4000000/mnf.m3u8
港澳频道,#genre#
Animax,http://59.125.122.90:18550/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
Animax,http://59.125.122.90:18550/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
Animax,http://59.125.122.90:18550/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
Animax,http://59.125.122.90:18550/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
AXN,http://59.125.122.90:18548/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
AXN,http://59.125.122.90:18548/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
AXN,http://59.125.122.90:18548/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
AXN,http://59.125.122.90:18548/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
CNBC,http://59.125.122.90:18551/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
CNBC,http://59.125.122.90:18551/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
CNBC,http://59.125.122.90:18551/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
CNBC,http://59.125.122.90:18551/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
MOMO综合,http://59.125.122.90:18576/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
MOMO综合,http://59.125.122.90:18576/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
MOMO综合,http://59.125.122.90:18576/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
MOMO综合,http://59.125.122.90:18576/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
NHK,http://59.125.122.90:18525/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
NHK,http://59.125.122.90:18525/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
NHK,http://59.125.122.90:18525/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
Star World,http://59.125.122.90:18504/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
Star World,http://59.125.122.90:18504/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
Star World,http://59.125.122.90:18504/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
Star World,http://59.125.122.90:18504/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
八大第一,http://59.125.122.90:18539/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
八大第一,http://59.125.122.90:18539/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
八大第一,http://59.125.122.90:18539/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
八大第一,http://59.125.122.90:18539/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
八大综合,http://59.125.122.90:18517/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
八大综合,http://59.125.122.90:18517/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
八大综合,http://59.125.122.90:18517/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
八大综合,http://59.125.122.90:18517/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
博斯运动1,http://59.125.101.187:8521/http/61.221.81.94:8088/hls/68/810/ch23.m3u8
大爱,http://59.125.122.90:18567/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
大爱,http://59.125.122.90:18567/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
大爱,http://59.125.122.90:18567/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
大爱,http://59.125.122.90:18567/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
东风37,http://59.125.122.90:18560/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
东风37,http://59.125.122.90:18560/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
东风37,http://59.125.122.90:18560/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
东风37,http://59.125.122.90:18560/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
东森超视,http://59.125.122.90:18555/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
东森超视,http://59.125.122.90:18555/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
东森超视,http://59.125.122.90:18555/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
非凡商业,http://59.125.122.90:18510/http/192.168.1.9:8081/hls/68/812/ch01.m3u8
非凡商业,http://59.125.122.90:18510/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
非凡商业,http://59.125.122.90:18510/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
非凡商业,http://59.125.122.90:18510/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
非凡新闻,http://59.125.122.90:18510/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
凤凰中文,http://59.125.122.90:18566/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
凤凰中文,http://59.125.122.90:18566/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
凤凰中文,http://59.125.122.90:18566/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
凤凰中文,http://59.125.122.90:18566/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰中文,http://183.207.249.35/PLTV/3/224/3221226923/index.m3u8
凤凰中文,http://124.238.99.44:808/hls/348/index.m3u8
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://anren.live/HK/AQtU.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv2.m3u8
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://117.169.120.138:8080/live/fhzixun/.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
凤凰资讯,http://183.207.249.35/PLTV/3/224/3221226922/index.m3u8
凤凰资讯,http://117.169.120.138:8080/live/fhzixun/index.m3u8
凤凰资讯,http://anren.live/HK/AQtQ.m3u8
凤凰资讯,http://59.125.122.90:18565/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
凤凰资讯,http://59.125.122.90:18565/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
凤凰资讯,http://59.125.122.90:18565/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
凤凰资讯,http://59.125.122.90:18565/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
中國環球電視,http://live.cgtn.com/500/prog_index.m3u8
有線新闻,http://gslb.cdn.hk.chinamobile.com/live/6aec56586c324021927637a750c1811e/cb76365be43b4ba598eb2f2ef3cffcd9-3.m3u8
海峡卫视,http://59.125.122.90:18533/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
海峡卫视,http://59.125.122.90:18533/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
海峡卫视,http://59.125.122.90:18533/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
海峡卫视,http://59.125.122.90:18533/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
龙华电影,http://59.125.122.90:18574/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
龙华电影,http://59.125.122.90:18574/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
龙华电影,http://59.125.122.90:18574/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
龙华电影,http://59.125.122.90:18574/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
龙华卡通,http://59.125.122.90:18600/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
龙华卡通,http://59.125.122.90:18600/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
龙华卡通,http://59.125.122.90:18600/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
龙华偶像,http://59.125.122.90:18573/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
龙华偶像,http://59.125.122.90:18573/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
龙华偶像,http://59.125.122.90:18573/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
龙华偶像,http://59.125.122.90:18573/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
龙华戏剧,http://59.125.122.90:18507/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
龙华戏剧,http://59.125.122.90:18507/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
龙华戏剧,http://59.125.122.90:18507/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
龙华戏剧,http://59.125.122.90:18507/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
年代MUCB,http://59.125.122.90:18558/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
年代MUCH,http://59.125.122.90:18558/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
年代MUCH,http://59.125.122.90:18558/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
年代MUCH,http://59.125.122.90:18558/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
人间卫视,http://59.125.122.90:18561/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
人间卫视,http://59.125.122.90:18561/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
人间卫视,http://59.125.122.90:18561/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
人间卫视,http://59.125.122.90:18561/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
台视,http://59.125.122.90:18543/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
台视,http://59.125.122.90:18543/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
纬来日本,http://59.125.122.90:18524/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
纬来日本,http://59.125.122.90:18524/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
纬来日本,http://59.125.122.90:18524/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
纬来日本,http://59.125.122.90:18524/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
纬来戏剧,http://59.125.122.90:18507/http/192.168.1.9:8081/hls/68/812/ch01.m3u8
纬来戏剧,http://59.125.122.90:18557/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
纬来戏剧,http://59.125.122.90:18557/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
纬来戏剧,http://59.125.122.90:18557/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
纬来戏剧,http://59.125.122.90:18557/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
纬来育乐,http://59.125.122.90:18541/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
纬来育乐,http://59.125.122.90:18541/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
纬来育乐,http://59.125.122.90:18541/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
纬来育乐,http://59.125.122.90:18541/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
纬来综合,http://59.125.122.90:18540/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
纬来综合,http://59.125.122.90:18540/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
卫视电影,http://59.125.122.90:18529/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
卫视电影,http://59.125.122.90:18529/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
卫视电影,http://59.125.122.90:18529/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
卫视中文,http://59.125.122.90:18522/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
卫视中文,http://59.125.122.90:18522/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
卫视中文,http://59.125.122.90:18522/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
亚洲旅游,http://59.125.122.90:18568/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
亚洲旅游,http://59.125.122.90:18568/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8
亚洲旅游,http://59.125.122.90:18568/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
亚洲旅游,http://59.125.122.90:18568/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
中天娱乐,http://59.125.122.90:18521/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
中天娱乐,http://59.125.122.90:18521/http/192.168.1.9:8078/hls/24/80/ch04.m3u8
中天娱乐,http://59.125.122.90:18521/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
MuchTV,http://59.125.101.187:8529/http/60.251.39.91:8081/hls/72/814/ch45.m3u8
八大戏剧,http://59.125.101.187:8531/http/60.251.39.91:8081/hls/66/808/ch23.m3u8
东森超视,http://59.125.101.187:8525/http/60.251.39.91:8081/hls/64/806/ch14.m3u8
东森YOYO,http://59.125.101.187:8515/http/61.221.81.94:8088/hls/63/805/ch09.m3u8
